Shp_No;Delivery_day;Plant;Ship-to2;Pallets;GWkg;TT;TT2
557899;02.01.2008;DE17;10100101;7.01;1848.036;GRP;TL
557899;02.01.2008;DE17;10105737;14.31;8026.775;DIR;TL
557899;02.01.2008;DE17;10105741;2.46;1425.545;GRP;TL
557900;02.01.2008;DE17;10105631;2.59;1714.877;GRP;TL
557900;02.01.2008;DE17;10105927;8.62;4166.171;DIR;TL
557900;02.01.2008;DE17;10108497;1.29;331.946;GRP;SG
557900;02.01.2008;DE17;10114499;1.75;1136.57;GRP;TL
557901;02.01.2008;DE17;10099222;0.05;11.15;GRP;SG
557901;02.01.2008;DE17;10099254;0.26;149.735;GRP;SG
557901;02.01.2008;DE17;10106015;0.56;583.3;GRP;SG
557902;02.01.2008;DE17;10100806;2.11;1114.6;GRP;TL
557902;02.01.2008;DE17;10100807;6.74;2712.849;GRP;TL
557902;02.01.2008;DE17;10101255;0.49;527;GRP;SG
557902;02.01.2008;DE17;10105726;2.5;1872.396;GRP;TL
557902;02.01.2008;DE17;10139604;1.78;1051.784;GRP;TL
557903;02.01.2008;DE14;10099639;0.37;387.4;GRP;SG
557903;02.01.2008;DE14;10099725;0.57;659.7;GRP;SG
557903;02.01.2008;DE14;10100165;3.04;1600.55;GRP;TL
557903;02.01.2008;DE14;10101210;0.75;565.326;GRP;SG
557903;02.01.2008;DE14;10106795;0.57;659.7;GRP;SG
557903;02.01.2008;DE14;10114416;1.48;812.6;GRP;SG
557920;02.01.2008;DE17;10106687;47.01;18302.24;DIR;KL
557921;02.01.2008;DE17;10099478;1.53;640.61;GRP;SG
557921;02.01.2008;DE17;10100365;2.23;1118.066;GRP;TL
557921;02.01.2008;DE17;10106489;0.58;315.68;GRP;SG
557922;02.01.2008;DE17;10099542;37.8;11383.07;DIR;KL
557945;02.01.2008;DE17;10099448;41;12456.28;DIR;KL
557945;02.01.2008;DE17;10099451;2.04;1087.102;GRP;TL
557945;02.01.2008;DE17;10105629;1.98;916.677;GRP;SG
557945;02.01.2008;DE17;10107005;3.25;911.69;GRP;SG
557945;02.01.2008;DE17;10107927;2.92;2211.116;GRP;TL
557945;02.01.2008;DE17;10127338;1.25;330.7;GRP;SG
557954;02.01.2008;DE17;10105467;59;20511.36;DIR;KL
557955;02.01.2008;DE17;10100096;10.26;5206.516;DIR;TL
557955;02.01.2008;DE17;10105743;9.65;4980.415;DIR;TL
557955;02.01.2008;DE17;10106136;8.66;3846.52;DIR;TL
557956;02.01.2008;DE17;10099464;10.41;5307.432;DIR;TL
557956;02.01.2008;DE17;10105719;11.85;6706.293;DIR;TL
557957;02.01.2008;DE17;10159848;59.23;21815.68;DIR;KL
557959;02.01.2008;DE17;10099193;12.64;6849.014;DIR;TL
557960;02.01.2008;DE17;10099673;0.84;120.756;GRP;SG
557960;02.01.2008;DE17;10099711;0.76;160.184;GRP;SG
557960;02.01.2008;DE17;10100035;0.69;166.652;GRP;SG
557960;02.01.2008;DE17;10100112;4.39;3442.16;DIR;TL
557960;02.01.2008;DE17;10100228;0.75;108.2;GRP;SG
557960;02.01.2008;DE17;10100407;2.38;1065.227;GRP;TL
557961;02.01.2008;DE17;10099414;31.75;5130.8;DIR;TL
557962;02.01.2008;DE17;10099519;12;5184;DIR;TL
557962;02.01.2008;DE17;10099634;10.63;5177.361;DIR;TL
557962;02.01.2008;DE17;10100097;9.73;5042.017;DIR;TL
557963;02.01.2008;DE17;10099446;44.75;15457.594;DIR;KL
557963;02.01.2008;DE17;10159556;8;4472.25;DIR;TL
557964;02.01.2008;DE17;10100378;1.69;538.946;GRP;SG
557964;02.01.2008;DE17;10106016;2.75;1013;GRP;TL
557965;02.01.2008;DE12;10099422;49.05;19784.656;DIR;KL
557966;02.01.2008;DE12;10099389;41;21013.44;DIR;KL
557967;02.01.2008;DE12;10099592;54;19057.508;DIR;KL
557968;02.01.2008;DE12;10099293;7;1768.08;GRP;TL
557968;02.01.2008;DE12;10099483;0.14;162.4;GRP;SG
557968;02.01.2008;DE12;10103433;0.09;54.1;GRP;SG
557968;02.01.2008;DE12;10103450;0.32;78.868;GRP;SG
557968;02.01.2008;DE12;10105280;2.56;1215.067;GRP;TL
557968;02.01.2008;DE12;10105281;2.69;1473.538;GRP;TL
557968;02.01.2008;DE12;10105535;1.1;228.55;GRP;SG
557968;02.01.2008;DE12;10105696;2.73;476.164;GRP;SG
557968;02.01.2008;DE12;10107250;4.56;1281.37;GRP;TL
557968;02.01.2008;DE12;10108074;2.15;366.648;GRP;SG
557968;02.01.2008;DE12;10108247;2.72;471.248;GRP;SG
557968;02.01.2008;DE12;10157369;1.02;205.22;GRP;SG
557968;02.01.2008;DE12;10188265;1.14;224.11;GRP;SG
557968;02.01.2008;DE12;10215047;1.03;168.164;GRP;SG
557969;02.01.2008;DE12;10105769;7.55;4916.533;DIR;TL
557970;02.01.2008;DE12;10105284;3.8;1556.971;GRP;TL
557970;02.01.2008;DE12;10105708;1;287.7;GRP;SG
557973;02.01.2008;DE17;10100050;3.52;1477.877;GRP;TL
557973;02.01.2008;DE17;10100100;5.18;3616.205;DIR;TL
557973;02.01.2008;DE17;10100109;8.32;4804.965;DIR;TL
557973;02.01.2008;DE17;10100377;2.49;1369.217;GRP;TL
557973;02.01.2008;DE17;10105747;1.27;683.77;GRP;SG
557974;02.01.2008;DE17;10099245;11;4380.124;DIR;TL
557974;02.01.2008;DE17;10100118;1.16;304.65;GRP;SG
557974;02.01.2008;DE17;10100761;4.75;1327.756;GRP;TL
557974;02.01.2008;DE17;10106992;2;679.09;GRP;SG
557974;02.01.2008;DE17;10108381;2;543.2;GRP;SG
557975;02.01.2008;DE17;10099435;13.76;8260.126;DIR;TL
557975;02.01.2008;DE17;10104040;6.57;6377.4;DIR;TL
557975;02.01.2008;DE17;10105794;3.4;719.3;GRP;SG
557975;02.01.2008;DE17;10106414;5;1760.28;GRP;TL
557975;02.01.2008;DE17;10108107;3.14;1918.864;GRP;TL
557976;02.01.2008;DE17;10100371;0.25;135;GRP;SG
557976;02.01.2008;DE17;10100809;4.68;2627.865;GRP;TL
557976;02.01.2008;DE17;10101143;2.47;1761.947;GRP;TL
557976;02.01.2008;DE17;10101256;0.2;231.4;GRP;SG
557976;02.01.2008;DE17;10103747;1;293.04;GRP;SG
557976;02.01.2008;DE17;10108169;0.88;145.722;GRP;SG
557977;02.01.2008;DE17;10099771;1.62;364.61;GRP;SG
557977;02.01.2008;DE17;10099981;0.94;193.078;GRP;SG
